Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,benjaminmoore,Benjamin Moore 1003 Kitten,#ddd4cb,0.8746432262199982,0.015798747186042066,67.61912996065575,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201003%20Kitten%20color%20swatch,https://placehold.co/400x400/ddd4cb/ffffff.png?text=Benjamin%20Moore%201003%20Kitten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1004 Desert,#d3c9be,0.8409556177691996,0.01878718808251615,70.20545525396165,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201004%20Desert%20color%20swatch,https://placehold.co/400x400/d3c9be/ffffff.png?text=Benjamin%20Moore%201004%20Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1005 Hazelwood,#c4b9af,0.7920390175907649,0.018743979170194717,64.86808477221501,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201005%20Hazelwood%20color%20swatch,https://placehold.co/400x400/c4b9af/ffffff.png?text=Benjamin%20Moore%201005%20Hazelwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1006 Creekbed,#aa9b8e,0.698819140681356,0.02570165583256516,63.33115878935155,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201006%20Creekbed%20color%20swatch,https://placehold.co/400x400/aa9b8e/ffffff.png?text=Benjamin%20Moore%201006%20Creekbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1007 Beigewood,#978878,0.6356253570412287,0.02951384106948594,69.06371347043921,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201007%20Beigewood%20color%20swatch,https://placehold.co/400x400/978878/ffffff.png?text=Benjamin%20Moore%201007%20Beigewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1008 Devonwood,#816e61,0.5524986306877877,0.03108049963626171,56.37092059703906,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201008%20Devonwood%20color%20swatch,https://placehold.co/400x400/816e61/ffffff.png?text=Benjamin%20Moore%201008%20Devonwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1009 Bride,#e9ddd2,0.9041142412562886,0.019873683380211733,65.12486966560618,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201009%20Bride%20color%20swatch,https://placehold.co/400x400/e9ddd2/ffffff.png?text=Benjamin%20Moore%201009%20Bride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1010 Rose,#d4c5bb,0.833004174905967,0.02185116988576162,56.07225537513432,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201010%20Rose%20color%20swatch,https://placehold.co/400x400/d4c5bb/ffffff.png?text=Benjamin%20Moore%201010%20Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1011 Meadow,#cdbaae,0.8015738880726634,0.027424526563618306,54.477149563902515,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201011%20Meadow%20color%20swatch,https://placehold.co/400x400/cdbaae/ffffff.png?text=Benjamin%20Moore%201011%20Meadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB,benjaminmoore,Benjamin Moore 1012 Whispering,#b59d8e,0.7130995635947062,0.03562572455705653,53.982972369027834,https://www.google.com/search?tbm=isch&q=benjaminMoore%20Benjamin%20Moore%201012%20Whispering%20color%20swatch,https://placehold.co/400x400/b59d8e/ffffff.png?text=Benjamin%20Moore%201012%20Whispering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
