Type,Adjective,Noun,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Note,Tags,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device,R400 nm,R410 nm,R420 nm,R430 nm,R440 nm,R450 nm,R460 nm,R470 nm,R480 nm,R490 nm,R500 nm,R510 nm,R520 nm,R530 nm,R540 nm,R550 nm,R560 nm,R570 nm,R580 nm,R590 nm,R600 nm,R610 nm,R620 nm,R630 nm,R640 nm,R650 nm,R660 nm,R670 nm,R680 nm,R690 nm,R700 nm,Spectral
DB,tafisa,HG115 Carte Blanche Lummia High Gloss TFL,#f2f3f2,0.964233070563884,0.00260612534692228,131.920475075056,https://tafisa.ca/en/our-colours/carte-blanche-0,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.681,0.791,0.853,0.876,0.886,0.894,0.9,0.9,0.9,0.899,0.901,0.902,0.901,0.899,0.898,0.894,0.892,0.894,0.898,0.901,0.899,0.897,0.896,0.894,0.892,0.894,0.893,0.892,0.892,0.893,0.894,"[0.681,0.791,0.853,0.876,0.886,0.894,0.9,0.9,0.9,0.899,0.901,0.902,0.901,0.899,0.898,0.894,0.892,0.894,0.898,0.901,0.899,0.897,0.896,0.894,0.892,0.894,0.893,0.892,0.892,0.893,0.894]"
DB,tafisa,HG100 Vanilla Orchid Lummia High Gloss TFL,#f0efe8,0.950413501641956,0.00847683539859487,98.2168906612785,https://tafisa.ca/en/our-colours/vanilla-orchid,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.595,0.703,0.769,0.797,0.812,0.824,0.832,0.834,0.834,0.836,0.841,0.848,0.854,0.857,0.859,0.858,0.859,0.864,0.869,0.872,0.87,0.868,0.868,0.867,0.864,0.866,0.864,0.863,0.863,0.864,0.864,"[0.595,0.703,0.769,0.797,0.812,0.824,0.832,0.834,0.834,0.836,0.841,0.848,0.854,0.857,0.859,0.858,0.859,0.864,0.869,0.872,0.87,0.868,0.868,0.867,0.864,0.866,0.864,0.863,0.863,0.864,0.864]"
DB,tafisa,HG775 Gardenia Lummia High Gloss TFL,#f2efe4,0.95131206967844,0.0149478660302593,95.6087374488996,https://tafisa.ca/en/our-colours/gardenia-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.55,0.658,0.729,0.761,0.779,0.794,0.804,0.807,0.809,0.812,0.822,0.837,0.849,0.857,0.862,0.863,0.868,0.876,0.882,0.883,0.879,0.876,0.876,0.875,0.872,0.873,0.871,0.869,0.869,0.869,0.869,"[0.55,0.658,0.729,0.761,0.779,0.794,0.804,0.807,0.809,0.812,0.822,0.837,0.849,0.857,0.862,0.863,0.868,0.876,0.882,0.883,0.879,0.876,0.876,0.875,0.872,0.873,0.871,0.869,0.869,0.869,0.869]"
DB,tafisa,HG776 Cashmere Lummia High Gloss TFL,#e5e0d8,0.909077043432973,0.0123275184844507,83.2445658321904,https://tafisa.ca/en/our-colours/cashmere-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.495,0.588,0.648,0.675,0.689,0.701,0.709,0.711,0.712,0.715,0.723,0.732,0.739,0.743,0.746,0.746,0.748,0.756,0.765,0.774,0.777,0.777,0.776,0.774,0.771,0.772,0.77,0.769,0.769,0.769,0.769,"[0.495,0.588,0.648,0.675,0.689,0.701,0.709,0.711,0.712,0.715,0.723,0.732,0.739,0.743,0.746,0.746,0.748,0.756,0.765,0.774,0.777,0.777,0.776,0.774,0.771,0.772,0.77,0.769,0.769,0.769,0.769]"
DB,tafisa,HG202 Summer Drops Lummia High Gloss TFL,#c1bfb8,0.805049422066787,0.0097957849503396,97.1712014708011,https://tafisa.ca/en/our-colours/summer-drops-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.336,0.404,0.449,0.47,0.482,0.492,0.498,0.5,0.502,0.504,0.509,0.515,0.519,0.522,0.522,0.521,0.522,0.525,0.528,0.529,0.528,0.529,0.532,0.533,0.533,0.536,0.537,0.538,0.539,0.54,0.541,"[0.336,0.404,0.449,0.47,0.482,0.492,0.498,0.5,0.502,0.504,0.509,0.515,0.519,0.522,0.522,0.521,0.522,0.525,0.528,0.529,0.528,0.529,0.532,0.533,0.533,0.536,0.537,0.538,0.539,0.54,0.541]"
DB,tafisa,HG763 Morning Dew Lummia High Gloss TFL,#cdc7bb,0.830559157689385,0.0170809054432423,82.0220811241954,https://tafisa.ca/en/our-colours/morning-dew-1,,Solid Laminate,D65,10,M1,2026-04-20,Nix Spectro L,0.34,0.413,0.463,0.487,0.501,0.513,0.521,0.524,0.526,0.53,0.537,0.547,0.555,0.562,0.566,0.568,0.574,0.583,0.591,0.597,0.599,0.599,0.6,0.6,0.598,0.6,0.599,0.599,0.6,0.6,0.601,"[0.34,0.413,0.463,0.487,0.501,0.513,0.521,0.524,0.526,0.53,0.537,0.547,0.555,0.562,0.566,0.568,0.574,0.583,0.591,0.597,0.599,0.599,0.6,0.6,0.598,0.6,0.599,0.599,0.6,0.6,0.601]"
DB,tafisa,HG771 North Wind Lummia High Gloss TFL,#848178,0.60245914428575,0.0134674987856155,86.7722606099981,https://tafisa.ca/en/our-colours/north-wind-0,,Solid Laminate,D65,10,M1,2026-04-21,Nix Spectro L,0.125,0.153,0.173,0.183,0.189,0.194,0.197,0.198,0.199,0.2,0.203,0.207,0.212,0.215,0.217,0.218,0.221,0.224,0.227,0.228,0.228,0.227,0.227,0.227,0.226,0.226,0.226,0.227,0.227,0.228,0.228,"[0.125,0.153,0.173,0.183,0.189,0.194,0.197,0.198,0.199,0.2,0.203,0.207,0.212,0.215,0.217,0.218,0.221,0.224,0.227,0.228,0.228,0.227,0.227,0.227,0.226,0.226,0.226,0.227,0.227,0.228,0.228]"
DB,tafisa,HG765 Midnight Sun Lummia High Gloss TFL,#3e3d3b,0.360478346894436,0.00337943188614028,67.7588189147799,https://tafisa.ca/en/our-colours/midnight-sun,,Solid Laminate,D65,10,M1,2026-04-21,Nix Spectro L,0.0349,0.0401,0.0429,0.0441,0.0448,0.0452,0.0452,0.0449,0.0446,0.0442,0.0444,0.045,0.0457,0.0461,0.0464,0.0466,0.047,0.0476,0.0481,0.0484,0.0484,0.0481,0.0478,0.0475,0.0473,0.0474,0.0473,0.0473,0.0475,0.0476,0.0477,"[0.0349,0.0401,0.0429,0.0441,0.0448,0.0452,0.0452,0.0449,0.0446,0.0442,0.0444,0.045,0.0457,0.0461,0.0464,0.0466,0.047,0.0476,0.0481,0.0484,0.0484,0.0481,0.0478,0.0475,0.0473,0.0474,0.0473,0.0473,0.0475,0.0476,0.0477]"
DB,tafisa,HG203 Black Lummia High Gloss TFL,#101113,0.177730389442438,0.00426221823889935,264.756844056897,https://tafisa.ca/en/our-colours/black-1,,Solid Laminate,D65,10,M1,2026-04-21,Nix Spectro L,0.00734,0.00735,0.00688,0.00661,0.00657,0.00644,0.00627,0.0062,0.00625,0.0062,0.00612,0.00595,0.00581,0.00569,0.00556,0.00549,0.00552,0.00555,0.00552,0.00545,0.00541,0.00537,0.00533,0.00531,0.00531,0.00531,0.00527,0.00528,0.00534,0.0054,0.00542,"[0.00734,0.00735,0.00688,0.00661,0.00657,0.00644,0.00627,0.0062,0.00625,0.0062,0.00612,0.00595,0.00581,0.00569,0.00556,0.00549,0.00552,0.00555,0.00552,0.00545,0.00541,0.00537,0.00533,0.00531,0.00531,0.00531,0.00527,0.00528,0.00534,0.0054,0.00542]"
DB,tafisa,HG833 Steampunk Lummia High Gloss TFL,#967c4f,0.600180192190623,0.0696236851040568,80.6799255246923,https://tafisa.ca/en/our-colours/steampunk,https://tafisa.ca/sites/default/files/styles/large/public/2020-11/HG833_24X24%20%28Medium%29.jpg,Textured Laminate,D65,10,M1,2026-04-21,Nix Spectro L,0.069,0.0767,0.0762,0.0765,0.0782,0.0827,0.0911,0.103,0.121,0.145,0.167,0.18,0.188,0.193,0.195,0.196,0.204,0.218,0.236,0.26,0.279,0.287,0.29,0.29,0.29,0.291,0.292,0.293,0.295,0.297,0.299,"[0.069,0.0767,0.0762,0.0765,0.0782,0.0827,0.0911,0.103,0.121,0.145,0.167,0.18,0.188,0.193,0.195,0.196,0.204,0.218,0.236,0.26,0.279,0.287,0.29,0.29,0.29,0.291,0.292,0.293,0.295,0.297,0.299]"
