Type;Adjective;Device;Noun;Date;Illuminant;Observer;Method;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
DB;Uniboard;Nix Spectro L;HPLK86 Serenity Supermat;2026-03-10T15:17:16.051Z;D50;2;M2;0.151665521;0.179194188;0.196457222;0.205124182;0.210394165;0.21418089;0.216178349;0.216306654;0.216015077;0.216738114;0.219971666;0.224312958;0.226577866;0.226940161;0.225565106;0.22184591;0.217616898;0.21441313;0.210670704;0.204144865;0.197618172;0.194012502;0.193405846;0.193233171;0.19290306;0.19371601;0.19399319;0.193993983;0.193414885;0.192858061;0.192081109
DB;Uniboard;Nix Spectro L;HPLKO1 Nutmeg Aura;2026-03-10T18:36:15.899Z;D50;2;M2;0.13964369;0.140104218;0.125036398;0.116021627;0.109632552;0.107961085;0.112052546;0.121264644;0.137410575;0.160418063;0.178182447;0.182959452;0.182978293;0.181546664;0.180153579;0.180073154;0.18533307;0.197837052;0.21738115;0.247300097;0.269929838;0.278407103;0.278923106;0.277742881;0.276720291;0.277698809;0.277874535;0.278479373;0.279444188;0.28058188;0.281532538
DB;Uniboard;Nix Spectro L;K22 Reflexion Sequoia;2026-03-10T20:54:10.770Z;D50;2;M2;0.115628748;0.120593387;0.114803413;0.110569736;0.106771025;0.104777308;0.104737498;0.106321739;0.110312115;0.116334732;0.120549931;0.120388055;0.119084604;0.117735152;0.117034961;0.116959719;0.118193883;0.121585006;0.126996012;0.134810296;0.140404999;0.142092681;0.141741416;0.14110072;0.140700096;0.141245931;0.141214532;0.141192719;0.141274545;0.141502824;0.141710541
DB;Uniboard;Nix Spectro L;K23 Shanshu Sequoia;2026-03-10T20:49:17.631Z;D50;2;M2;0.133449931;0.136176969;0.124733306;0.117464362;0.111862633;0.109887654;0.112378763;0.118793228;0.130681856;0.148185717;0.161559075;0.163891757;0.161917579;0.158913645;0.156281801;0.154537189;0.156764494;0.165359461;0.180423784;0.203646159;0.220669344;0.226156488;0.225609735;0.224358359;0.223623309;0.224833935;0.225515801;0.226178125;0.22664713;0.227200344;0.227445927
DB;Uniboard;Nix Spectro L;K24 Dalia Sequoia;2026-03-10T20:56:12.110Z;D50;2;M2;0.0989604488;0.104763907;0.100636636;0.0977324665;0.0953788474;0.0951711163;0.0976169631;0.102314016;0.110573049;0.122753249;0.132420653;0.134713228;0.133718967;0.131691191;0.129561783;0.12765649;0.128519234;0.134402651;0.146426356;0.166455805;0.181692412;0.18727974;0.187499455;0.186751309;0.186298639;0.187352568;0.187925878;0.188760394;0.189728329;0.190723795;0.191468048
DB;Uniboard;Nix Spectro L;K25 Mimosa Sequoia;2026-03-10T20:59:01.904Z;D50;2;M2;0.213321692;0.242622012;0.252729753;0.257296097;0.260358545;0.265280843;0.272689778;0.282167822;0.296893364;0.318945712;0.340318274;0.353233922;0.359760606;0.362405336;0.362405276;0.361209399;0.365672648;0.378749973;0.399498391;0.431004614;0.45362916;0.461331707;0.461630476;0.460008472;0.458199579;0.459419471;0.459592199;0.460578609;0.461890632;0.463306332;0.46429795
DB;Uniboard;Nix Spectro L;K36 SoHo Sequoia;2026-03-10T20:50:42.351Z;D50;2;M2;0.354628319;0.397396541;0.411416364;0.416054106;0.417166048;0.419304526;0.422202146;0.425322974;0.431352752;0.440743595;0.448799664;0.451108718;0.450701153;0.449331456;0.448354739;0.446885151;0.447936994;0.45331108;0.459953713;0.46672467;0.469899452;0.470161963;0.470211869;0.469592577;0.468833071;0.470772302;0.470973706;0.471001601;0.470825326;0.470962477;0.470965648
DB;Uniboard;Nix Spectro L;K39 Nebula Sequoia;2026-03-10T20:59:57.300Z;D50;2;M2;0.0775260285;0.0858558565;0.0881656095;0.0889280543;0.0888844758;0.0888829336;0.0888468757;0.0886537746;0.0888465255;0.0895097718;0.0900486156;0.0896016777;0.0887203306;0.0877564639;0.0869304776;0.0859572321;0.0850929707;0.0849914148;0.0854095131;0.0858545095;0.0858363926;0.0855977297;0.0855452567;0.0854814827;0.0854670957;0.0859894767;0.0861357167;0.0861315489;0.0859580576;0.0858341902;0.0856486142
DB;Uniboard;Nix Spectro L;K82 White smoke Supermat;2026-03-10T14:47:06.909Z;D50;2;M2;0.41066187;0.483691901;0.526646054;0.547618973;0.56064868;0.570878613;0.577418423;0.580252063;0.583074212;0.587706828;0.595175111;0.60419991;0.612177563;0.618303549;0.623078561;0.626616859;0.634056616;0.644930065;0.652050972;0.654459083;0.652774441;0.650974965;0.651377869;0.650572646;0.648741722;0.650102413;0.649364817;0.649246204;0.649396956;0.649905801;0.650299072
DB;Uniboard;Nix Spectro L;K82 Whitesmoke Eclipse;2026-04-17T23:53:07.155Z;D65;10;M1;0.410263318;0.49080649;0.543895352;0.568468654;0.582049835;0.592961693;0.60057888;0.60385617;0.606582284;0.610883248;0.619355893;0.629703093;0.638943255;0.646035028;0.651459455;0.655361152;0.663987827;0.676139414;0.684055579;0.686776769;0.685425878;0.684534001;0.686138785;0.68618263;0.684857535;0.687088549;0.687002659;0.687285101;0.687898791;0.688803637;0.689465749
DB;Uniboard;Nix Spectro L;K84 Quietude Eclipse;2026-04-17T23:53:07.156Z;D65;10;M1;0.175178021;0.209770584;0.232327652;0.243250269;0.24985801;0.255030042;0.258534318;0.260394114;0.262455279;0.265695262;0.271601665;0.279211277;0.286476225;0.29241448;0.297143698;0.30166651;0.309436524;0.31909306;0.325768191;0.329701656;0.330785477;0.331103796;0.332125604;0.332261753;0.331790662;0.333146042;0.333604795;0.334455734;0.335390437;0.336387086;0.337125266
DB;Uniboard;Nix Spectro L;K87 Calla Sequoia;2026-03-10T21:02:28.502Z;D50;2;M2;0.0521092065;0.059810181;0.0629470252;0.0643387005;0.0649601556;0.0655968063;0.0663135573;0.0670355678;0.0685326785;0.0713588566;0.074253355;0.0754295215;0.0754480824;0.0750555262;0.0745755672;0.0741830781;0.0751712546;0.078906557;0.0864729255;0.0991006121;0.108689393;0.112292704;0.112595581;0.112271488;0.112117478;0.112899749;0.113391457;0.113992113;0.114555989;0.115086886;0.115407547
DB;Uniboard;Nix Spectro L;L08 Frost;2026-03-03T15:11:35.497Z;D50;2;M2;0.337266731;0.360223055;0.352387476;0.346027976;0.340755272;0.341070592;0.34792105;0.360314846;0.381233054;0.409926444;0.429972076;0.432127494;0.429128981;0.425288153;0.42273649;0.42189765;0.427679288;0.44148531;0.459130985;0.482069403;0.497901881;0.50297299;0.502884531;0.501267922;0.499576402;0.500839353;0.500385821;0.50036552;0.500849885;0.501779509;0.502667123
DB;Uniboard;Nix Spectro L;L08 Frost Sequoia;2026-03-10T20:57:47.072Z;D50;2;M2;0.322468424;0.347094458;0.342388266;0.338027084;0.33439492;0.335855645;0.343394125;0.356093085;0.376966441;0.405457348;0.425395209;0.427726573;0.424914724;0.421229619;0.418672842;0.417753279;0.42365706;0.437693202;0.455397671;0.478267378;0.493969744;0.49900021;0.499019635;0.497498679;0.495842481;0.497144139;0.496823287;0.496968758;0.497553647;0.498537815;0.499424326
DB;Uniboard;Nix Spectro L;R60 Fresco;2026-03-03T14:52:36.171Z;D50;2;M2;0.513354129;0.585841787;0.619372964;0.633832443;0.641300416;0.648371804;0.654154444;0.658041751;0.664015234;0.673253381;0.683066499;0.689573741;0.693063223;0.694368565;0.694844997;0.693240893;0.69414227;0.699250793;0.703427672;0.704718232;0.702781308;0.700994658;0.701310432;0.700397325;0.698540497;0.699957275;0.698599279;0.697375131;0.696395373;0.69598099;0.695676529
DB;Wilsonart;Nix Spectro L;Calcutta Marble 4925;2026-04-15T18:33:05.084Z;D50;2;M2;0.473629755;0.563407809;0.620845985;0.649365258;0.667267883;0.681080055;0.689751983;0.692985523;0.69500457;0.697892344;0.700091469;0.698484123;0.694228613;0.689485121;0.685376012;0.679196632;0.676017523;0.679160607;0.684442222;0.688926411;0.688127851;0.684283006;0.681640601;0.679020035;0.676042891;0.676617706;0.67494911;0.673352909;0.671614146;0.670250869;0.668740547
DB;Wilsonart;Nix Spectro L;Italian di Pesco 4954;2026-04-15T18:31:51.186Z;D50;2;M2;0.255347982;0.295918322;0.316248417;0.325469881;0.330610114;0.335354355;0.33959803;0.343031049;0.348522839;0.358541325;0.371365285;0.381684306;0.386707452;0.387993932;0.38650611;0.382039303;0.379432061;0.382315639;0.390055788;0.402237257;0.409752721;0.41147598;0.411551973;0.410917252;0.410147786;0.412087595;0.412922484;0.413662949;0.413831466;0.414047486;0.413803539
